 tracl=118	 tracr=118	  fldr=4	 tracf=15	   cdp=21	  trid=1	offset=-775	scalel=1	    sx=150	    gx=-625	    ns=251	    dt=8000	

 tracl=119	 tracr=119	  fldr=3	 tracf=17	   cdp=21	  trid=1	offset=-675	scalel=1	    sx=100	    gx=-575	    ns=251	    dt=8000	

 tracl=120	 tracr=120	  fldr=2	 tracf=19	   cdp=21	  trid=1	offset=-575	scalel=1	    sx=50	    gx=-525	    ns=251	    dt=8000	

 tracl=121	 tracr=121	  fldr=1	 tracf=21	   cdp=21	  trid=1	offset=-475	scalel=1	    sx=0	    gx=-475	    ns=251	    dt=8000	

 tracl=122	 tracr=122	  fldr=11	 tracf=2	   cdp=22	  trid=1	offset=-1425	scalel=1	    sx=500	    gx=-925	    ns=251	    dt=8000	

 tracl=123	 tracr=123	  fldr=10	 tracf=4	   cdp=22	  trid=1	offset=-1325	scalel=1	    sx=450	    gx=-875	    ns=251	    dt=8000	

 tracl=124	 tracr=124	  fldr=9	 tracf=6	   cdp=22	  trid=1	offset=-1225	scalel=1	    sx=400	    gx=-825	    ns=251	    dt=8000	

 tracl=125	 tracr=125	  fldr=8	 tracf=8	   cdp=22	  trid=1	offset=-1125	scalel=1	    sx=350	    gx=-775	    ns=251	    dt=8000	

 tracl=126	 tracr=126	  fldr=7	 tracf=10	   cdp=22	  trid=1	offset=-1025	scalel=1	    sx=300	    gx=-725	    ns=251	    dt=8000	

 tracl=127	 tracr=127	  fldr=6	 tracf=12	   cdp=22	  trid=1	offset=-925	scalel=1	    sx=250	    gx=-675	    ns=251	    dt=8000	

 tracl=128	 tracr=128	  fldr=5	 tracf=14	   cdp=22	  trid=1	offset=-825	scalel=1	    sx=200	    gx=-625	    ns=251	    dt=8000	

 tracl=129	 tracr=129	  fldr=4	 tracf=16	   cdp=22	  trid=1	offset=-725	scalel=1	    sx=150	    gx=-575	    ns=251	    dt=8000	

 tracl=130	 tracr=130	  fldr=3	 tracf=18	   cdp=22	  trid=1	offset=-625	scalel=1	    sx=100	    gx=-525	    ns=251	    dt=8000	

 tracl=131	 tracr=131	  fldr=2	 tracf=20	   cdp=22	  trid=1	offset=-525	scalel=1	    sx=50	    gx=-475	    ns=251	    dt=8000	

 tracl=132	 tracr=132	  fldr=1	 tracf=22	   cdp=22	  trid=1	offset=-425	scalel=1	    sx=0	    gx=-425	    ns=251	    dt=8000	

 tracl=133	 tracr=133	  fldr=12	 tracf=1	   cdp=23	  trid=1	offset=-1475	scalel=1	    sx=550	    gx=-925	    ns=251	    dt=8000	

 tracl=134	 tracr=134	  fldr=11	 tracf=3	   cdp=23	  trid=1	offset=-1375	scalel=1	    sx=500	    gx=-875	    ns=251	    dt=8000	

 tracl=135	 tracr=135	  fldr=10	 tracf=5	   cdp=23	  trid=1	offset=-1275	scalel=1	    sx=450	    gx=-825	    ns=251	    dt=8000	

 tracl=136	 tracr=136	  fldr=9	 tracf=7	   cdp=23	  trid=1	offset=-1175	scalel=1	    sx=400	    gx=-775	    ns=251	    dt=8000	

 tracl=137	 tracr=137	  fldr=8	 tracf=9	   cdp=23	  trid=1	offset=-1075	scalel=1	    sx=350	    gx=-725	    ns=251	    dt=8000	

 tracl=138	 tracr=138	  fldr=7	 tracf=11	   cdp=23	  trid=1	offset=-975	scalel=1	    sx=300	    gx=-675	    ns=251	    dt=8000	

 tracl=139	 tracr=139	  fldr=6	 tracf=13	   cdp=23	  trid=1	offset=-875	scalel=1	    sx=250	    gx=-625	    ns=251	    dt=8000	

 tracl=140	 tracr=140	  fldr=5	 tracf=15	   cdp=23	  trid=1	offset=-775	scalel=1	    sx=200	    gx=-575	    ns=251	    dt=8000	

 tracl=141	 tracr=141	  fldr=4	 tracf=17	   cdp=23	  trid=1	offset=-675	scalel=1	    sx=150	    gx=-525	    ns=251	    dt=8000	

